model,rrmse_mean,rrmse_std,rrmse_median,rrmse_25th,rrmse_75th
chain_ERCcv_lasso,1.9603518754802014,14.793092940413676,0.9300026744163754,0.7456977283687168,1.1073851289845698
chain_ERCcv_lr,3.457093178211799,23.99525891988502,0.8514462866076595,0.42867574178757323,1.5758416735110905
chain_ERCcv_mean,0.9999999999968976,1.5000278627825686e-11,0.9999999999992564,0.9999999999984067,0.999999999999561
chain_ERCcv_rf,2.5309480229651378,14.803886507985633,0.8702091611107399,0.5706265148381479,1.2691472907282404
global_bag,2.3961642904620586,15.022631210622235,0.8901262574526678,0.5816286477697553,1.3106438951371653
global_rf,2.4063475196743425,14.992152058934675,0.8942985979760136,0.5902127763954188,1.3103125744704816
local_lasso,3.1143431311402243,21.89806125189764,0.8406017524316571,0.4451235903837346,1.295130325291757
local_lr,3.4886376831593746,25.98130247389511,0.8461259155631972,0.443373015807412,1.5243841918089531
local_mean,0.9999999999968976,1.5000269101552224e-11,0.9999999999992564,0.9999999999984067,0.999999999999561
local_rf,2.53855391568909,15.96028619063229,0.8909127439316208,0.5598503915912391,1.2892644828546571
