,local_lr,local_lasso,local_rf,local_mean,global_bag,global_rf,chain_ERCcv_lr,chain_ERCcv_lasso,chain_ERCcv_rf,chain_ERCcv_mean
local_lr,1.0,0.9995910023079224,0.6008761990444134,1.7644395959859338e-06,0.34279662607630157,0.30517539928047166,0.9999999347040592,0.00016646182513613272,0.8934254909006814,8.67833527262718e-09
local_lasso,0.9995910023079224,1.0,0.17999663541760713,2.888419825541888e-08,0.06812646580918502,0.05680475130126528,0.9952961464449201,4.991760971795323e-06,0.46736919559371015,7.85915776901902e-11
local_rf,0.6008761990444134,0.17999663541760713,1.0,0.01708118632508826,0.9999976587430488,0.9999910384327733,0.7679190004512417,0.2073094965794403,0.9999716996416089,0.000527032905317304
local_mean,1.7644395959859338e-06,2.888419825541888e-08,0.01708118632508826,1.0,0.05680475130126528,0.06812646580918502,7.004729222992445e-06,0.9972162105848303,0.0026103326016286843,0.9972162105848303
global_bag,0.34279662607630157,0.06812646580918502,0.9999976587430488,0.05680475130126528,1.0,0.9999999999997375,0.5115293050175795,0.4242390960450755,0.9972162105848303,0.0026103326016286843
global_rf,0.30517539928047166,0.05680475130126528,0.9999910384327733,0.06812646580918502,0.9999999999997375,1.0,0.46736919559371015,0.46736919559371015,0.9952961464449201,0.0033555516211533076
chain_ERCcv_lr,0.9999999347040592,0.9952961464449201,0.7679190004512417,7.004729222992445e-06,0.5115293050175795,0.46736919559371015,1.0,0.000527032905317304,0.9644373147971921,4.279549326025034e-08
chain_ERCcv_lasso,0.00016646182513613272,4.991760971795323e-06,0.2073094965794403,0.9972162105848303,0.4242390960450755,0.46736919559371015,0.000527032905317304,1.0,0.05680475130126528,0.7679190004512417
chain_ERCcv_rf,0.8934254909006814,0.46736919559371015,0.9999716996416089,0.0026103326016286843,0.9972162105848303,0.9952961464449201,0.9644373147971921,0.05680475130126528,1.0,4.9202480610577304e-05
chain_ERCcv_mean,8.67833527262718e-09,7.85915776901902e-11,0.000527032905317304,0.9972162105848303,0.0026103326016286843,0.0033555516211533076,4.279549326025034e-08,0.7679190004512417,4.9202480610577304e-05,1.0
