student,embedding,regressor,method,pct,K,M_max,delta_hat,ci_lo,ci_hi,p_win,B
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,0.007989615201950073,-0.04371483027935028,0.061804309487342814,0.6184,5000
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,0.01599407196044922,-0.036426898837089536,0.0747392639517784,0.7052,5000
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,0.014234542846679688,-0.03537092506885529,0.064812795817852,0.7038,5000
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,0.004997730255126953,-0.04480531513690948,0.05442356467247008,0.5802,5000
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,0.004997730255126953,-0.04480531513690948,0.05442356467247008,0.5802,5000
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,0.004997730255126953,-0.04480531513690948,0.05442356467247008,0.5802,5000
S1,e5_base,chain_ERCcv_rf,gemma,10,10,3072,0.033914148807525635,-0.017825947701930998,0.08344990164041519,0.9064,5000
S1,e5_base,chain_ERCcv_rf,gemma,20,19,3072,0.0564475953578949,0.002758099138736725,0.11290335059165944,0.9796,5000
S1,e5_base,chain_ERCcv_rf,gemma,50,48,3072,0.04179313778877258,-0.013779525458812713,0.0953843265771865,0.932,5000
S1,e5_base,chain_ERCcv_rf,gemma,100,96,3072,0.044010937213897705,-0.010978622734546658,0.09500220566987987,0.9424,5000
S1,e5_base,chain_ERCcv_rf,gemma,200,192,3072,0.048090189695358276,-0.010787609219551086,0.11244888007640835,0.946,5000
S1,e5_base,chain_ERCcv_rf,gemma,400,384,3072,0.06299301981925964,0.003913815319538117,0.12349797487258905,0.983,5000
S1,e5_base,global_rf,gemma,10,10,3072,0.021724998950958252,-0.028713798522949217,0.06650443673133848,0.8262,5000
S1,e5_base,global_rf,gemma,20,19,3072,0.038714975118637085,-0.02013917565345764,0.0887562289834022,0.9006,5000
S1,e5_base,global_rf,gemma,50,48,3072,0.052695900201797485,0.006454275548458099,0.09811824858188625,0.9844,5000
S1,e5_base,global_rf,gemma,100,96,3072,0.02346709370613098,-0.025299608707427975,0.06792283356189727,0.842,5000
S1,e5_base,global_rf,gemma,200,192,3072,0.020409435033798218,-0.039198605716228484,0.070105841755867,0.7766,5000
S1,e5_base,global_rf,gemma,400,384,3072,0.054060906171798706,-0.014792694151401518,0.10987580865621567,0.9472,5000
S1,e5_base,local_lasso,gemma,10,10,3072,0.01592928171157837,-0.021454960107803345,0.05515799969434731,0.7994,5000
S1,e5_base,local_lasso,gemma,20,19,3072,0.01652809977531433,-0.030365745723247527,0.06720727086067198,0.7618,5000
S1,e5_base,local_lasso,gemma,50,48,3072,0.022159457206726074,-0.022116439044475557,0.06811329722404477,0.8378,5000
S1,e5_base,local_lasso,gemma,100,96,3072,0.024694979190826416,-0.028752566874027254,0.07466158866882323,0.801,5000
S1,e5_base,local_lasso,gemma,200,192,3072,0.01743006706237793,-0.030347687005996705,0.06714861989021297,0.7658,5000
S1,e5_base,local_lasso,gemma,400,384,3072,0.006528377532958984,-0.0429532840847969,0.05914741754531859,0.5946,5000
S1,e5_base,local_rf,gemma,10,10,3072,0.008729517459869385,-0.029832538962364197,0.05175823420286178,0.6688,5000
S1,e5_base,local_rf,gemma,20,19,3072,0.04733383655548096,-0.0004503384232521039,0.09074050337076187,0.9742,5000
S1,e5_base,local_rf,gemma,50,48,3072,0.028123080730438232,-0.019877323508262636,0.07638243585824964,0.8892,5000
S1,e5_base,local_rf,gemma,100,96,3072,0.020842939615249634,-0.033287730813026425,0.0763658747076988,0.7826,5000
S1,e5_base,local_rf,gemma,200,192,3072,0.023813575506210327,-0.032116784155368804,0.07482589930295931,0.8004,5000
S1,e5_base,local_rf,gemma,400,384,3072,0.058729857206344604,0.0004481777548789988,0.11070317476987836,0.9754,5000
