,Static,Frozen word-level (mean),Frozen sentence-level
Target_1,0.8168455228991085,0.8382490379095751,0.7542536907881366
Target_2,0.8268748301853683,0.883448323784279,0.7785346528183676
Target_3,0.8959310836163352,0.9031011410051557,0.8385013968310497
Target_4,0.8706800155616014,0.9568791593806387,0.8103334944592384
Target_5,0.8881997952178042,0.8925920158252494,0.7902829016474777
Target_6,0.8926906782890409,0.9466653915680122,0.7394985207247664
Target_7,0.8981408721777595,0.941861970683469,0.8225942494152727
Target_8,0.8838849883551532,0.9134467423318451,0.835254095971494
Target_9,0.8592214326279047,0.909799808167607,0.8355089860926006
Target_10,0.9132684041797,0.90615347421995,0.849489341847854
Target_11,0.8804855503168085,0.8744138834386261,0.8115874079321687
Target_12,0.7330174680309179,0.8201594251466675,0.6160645928613582
Target_13,0.8783036706598398,0.9008240665692373,0.7913591556967688
Target_14,0.9006921479370763,0.9160884536768672,0.8170130942362522
