domain_id,domain_title,U_pos_vs_neg_len,p_value,n_pos_strong,n_neg_strong
1,Taal en Cultuur,172.0,0.5326444620498183,17,18
2,STEM,67.5,0.19004365845808713,10,10
3,Kunst en Creatie,65.5,0.010397465902499063,16,17
4,Land- en Tuinbouw,188.5,0.24053706581980772,18,17
5,Economie en Organisatie,192.5,0.03898585753879019,16,17
6,Sport,147.5,0.2557145035750813,17,14
7,Maatschappij en Welzijn,118.0,0.0973525559917873,17,10
8,Voeding en Horeca,154.5,0.27431283795236105,18,14
9,Realistisch,18.5,0.4666125255859287,7,7
10,Intellectueel,152.5,0.2662629974637636,13,19
11,Artistiek,56.0,0.14710776428990105,14,12
12,Sociaal,240.5,0.6111402785197779,22,20
13,Ondernemend,200.0,0.013876456370432236,19,14
14,Conventioneel,18.0,0.8746187335357932,11,3
