rank,representation_family,embedding,mtr_model,teacher,augmentation,rrmse
1,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_chainERCcv_lr,A20,0.6676065921783447
2,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_chainERCcv_lr,A50,0.6737381219863892
3,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_chainERCcv_lr,A10,0.6737879514694214
4,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_local_lasso,A100,0.6755903363227844
5,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_local_lasso,A50,0.6755911707878113
6,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_chainERCcv_lr,A50,0.6777620911598206
7,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_local_lasso,A20,0.6780490875244141
8,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_chainERCcv_lr,A100,0.6787651181221008
9,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_local_lasso,A50,0.6790332794189453
10,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_local_lasso,A100,0.6812852621078491
11,frozen sentence + MTR,e5_base,chain_ERCcv_lr,NA,NA,0.6815699714287151
12,frozen sentence + MTR,e5_large,local_lasso,NA,NA,0.6819935526556229
13,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_local_lasso,A200,0.6840757131576538
14,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_local_lasso,A10,0.6841688752174377
15,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_chainERCcv_lr,A400,0.6846904754638672
16,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_chainERCcv_lr,A100,0.6846904754638672
17,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_chainERCcv_lr,A200,0.6846904754638672
18,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_chainERCcv_lr,A200,0.6852312088012695
19,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_chainERCcv_lr,A20,0.6882121562957764
20,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_local_lasso,A10,0.6903417110443115
